Mes,Distribuição,P Value,Rejeita H0
1,Normal,8.226594209398341e-11,True
2,Normal,1.970185454663961e-18,True
3,Normal,2.6449235658307332e-12,True
4,Normal,2.960210920219587e-10,True
5,Normal,1.430609728797516e-14,True
6,Normal,1.62875987474662e-14,True
7,Normal,2.6971963677911245e-11,True
8,Normal,9.577766169204396e-07,True
9,Normal,8.05468584142593e-10,True
10,Normal,2.989516328476747e-09,True
11,Normal,3.04714118327038e-07,True
12,Normal,5.011133637421794e-07,True
Todos,Normal,6.523380141761197e-22,True
